ID,gender,Partner,ServiceForPhone,2ormoreLines,ServiceforInternet,Security,ProtectionforDevice,Support,UseType,MonthlyofCharges,TotalofCharges
2859,Male,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Two year,88.55,6306.5
2860,Male,No,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,101.4,6841.05
2861,Female,No,Yes,No,Fiber optic,No,No,No,Month-to-month,81.95,81.95
2862,Male,Yes,Yes,No,Fiber optic,No,No,No,Month-to-month,69.35,451.1
2863,Male,No,Yes,No,DSL,No,No,No,Month-to-month,44.6,44.6
2864,Male,No,Yes,No,DSL,No,No,Yes,Month-to-month,63.75,226.2
2865,Female,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Two year,109.25,7082.5
2866,Female,No,Yes,No,Fiber optic,No,No,No,Month-to-month,84.6,1017.35
2867,Female,No,Yes,No,No,No internet service,No internet service,No internet service,One year,20.45,527.35
2868,Male,No,Yes,No,Fiber optic,No,No,No,Month-to-month,85.75,2146.5
2869,Female,No,Yes,No,Fiber optic,No,No,No,Month-to-month,91.1,455.3
2870,Male,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Two year,107.95,5969.85
2871,Male,Yes,Yes,Yes,Fiber optic,No,No,No,Month-to-month,86.1,1235.55
2872,Female,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,22.95,1014.25
2873,Male,No,Yes,Yes,Fiber optic,No,No,No,Month-to-month,94.7,2362.1
2874,Female,Yes,Yes,No,No,No internet service,No internet service,No internet service,Two year,19.45,1225.65
2875,Male,Yes,Yes,Yes,Fiber optic,No,No,No,Month-to-month,85.1,1873.7
2876,Male,No,Yes,No,No,No internet service,No internet service,No internet service,One year,19.7,386.5
2877,Female,Yes,Yes,Yes,Fiber optic,No,No,No,Month-to-month,99.15,6010.05
2878,Male,Yes,Yes,No,Fiber optic,No,Yes,No,Month-to-month,87.0,1850.65
2879,Male,Yes,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,102.95,7101.5
2880,Male,No,Yes,No,Fiber optic,No,No,No,Month-to-month,79.95,1043.4
2881,Female,Yes,Yes,No,DSL,Yes,No,Yes,One year,64.0,1910.75
2882,Female,No,Yes,No,DSL,No,No,No,Month-to-month,64.9,716.1
2883,Male,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,25.75,1686.15
2884,Female,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Two year,90.15,6716.45
2885,Male,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Two year,116.1,7839.85
2886,Female,No,Yes,No,Fiber optic,Yes,Yes,Yes,Month-to-month,104.95,6236.75
2887,Male,No,Yes,No,DSL,No,No,No,Month-to-month,45.05,45.05
2888,Female,No,Yes,No,Fiber optic,No,No,No,Month-to-month,71.0,71
2889,Male,Yes,No,No phone service,DSL,Yes,Yes,No,One year,50.0,2919.85
2890,Female,Yes,Yes,No,Fiber optic,No,No,No,Month-to-month,70.55,3309.25
2891,Female,No,Yes,No,Fiber optic,No,No,No,Month-to-month,79.7,79.7
2892,Male,No,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,20.45,20.45
2893,Male,No,Yes,Yes,DSL,Yes,No,No,Month-to-month,59.0,1254.7
2894,Female,No,Yes,No,DSL,Yes,Yes,Yes,One year,60.35,2896.4
2895,Female,Yes,Yes,No,No,No internet service,No internet service,No internet service,One year,19.85,717.5
2896,Male,No,Yes,No,No,No internet service,No internet service,No internet service,One year,19.95,253.8
2897,Male,No,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,26.45,1110.05
2898,Female,No,No,No phone service,DSL,Yes,Yes,Yes,Two year,63.4,348.8
2899,Male,No,No,No phone service,DSL,Yes,Yes,Yes,Two year,53.95,3888.65
2900,Female,Yes,Yes,No,Fiber optic,No,No,No,Month-to-month,69.25,69.25
2901,Female,Yes,Yes,Yes,Fiber optic,Yes,No,No,Two year,95.1,6843.15
2902,Female,No,Yes,No,Fiber optic,Yes,No,No,Month-to-month,74.1,450.9
2903,Male,Yes,No,No phone service,DSL,No,No,Yes,Month-to-month,35.5,432.25
2904,Male,No,Yes,No,Fiber optic,No,No,No,Month-to-month,70.95,1767.35
2905,Female,Yes,Yes,No,Fiber optic,No,Yes,Yes,One year,79.2,1742.45
2906,Female,Yes,Yes,No,DSL,No,No,Yes,Month-to-month,48.8,297.35
2907,Male,Yes,Yes,No,Fiber optic,No,No,No,Month-to-month,89.0,1820.45
2908,Male,Yes,Yes,Yes,Fiber optic,Yes,No,No,Month-to-month,99.4,1742.95
2909,Female,No,Yes,No,DSL,No,No,Yes,One year,55.45,2444.25
2910,Female,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,25.4,949.8
2911,Female,No,Yes,No,Fiber optic,No,Yes,No,Month-to-month,73.5,73.5
2912,Male,Yes,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,93.5,2970.8
2913,Male,No,No,No phone service,DSL,Yes,Yes,Yes,Two year,63.9,3334.95
2914,Male,No,Yes,No,DSL,No,No,No,One year,64.85,2010.95
2915,Female,Yes,No,No phone service,DSL,Yes,Yes,Yes,Two year,63.8,4684.3
2916,Male,No,No,No phone service,DSL,Yes,No,Yes,Month-to-month,44.45,2181.55
2917,Male,Yes,Yes,No,No,No internet service,No internet service,No internet service,Two year,19.95,1303.25
2918,Male,Yes,No,No phone service,DSL,No,Yes,No,Month-to-month,43.35,371.4
2919,Male,Yes,No,No phone service,DSL,No,No,No,Two year,49.65,2409.9
2920,Female,Yes,Yes,No,DSL,Yes,Yes,Yes,Two year,85.1,6155.4
2921,Male,No,Yes,Yes,Fiber optic,No,No,No,Month-to-month,95.5,829.1
2922,Female,Yes,Yes,No,Fiber optic,Yes,No,No,Month-to-month,92.35,2602.9
2923,Male,No,Yes,No,Fiber optic,Yes,Yes,No,Month-to-month,89.8,4667
2924,Male,No,Yes,No,Fiber optic,No,No,No,Month-to-month,74.55,824.75
2925,Female,Yes,Yes,No,Fiber optic,No,Yes,Yes,One year,103.05,5153.5
2926,Female,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Two year,116.0,8182.85
2927,Male,No,Yes,No,Fiber optic,No,No,No,Month-to-month,69.9,69.9
2928,Male,Yes,Yes,No,Fiber optic,Yes,No,Yes,Two year,95.1,6683.4
2929,Male,No,No,No phone service,DSL,Yes,No,Yes,One year,40.25,1564.05
2930,Male,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,25.75,755.6
2931,Female,No,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,105.35,3465.05
2932,Male,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Two year,113.6,6292.7
2933,Male,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,24.0,1664.3
2934,Female,Yes,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,19.4,198.1
2935,Male,Yes,Yes,No,DSL,Yes,Yes,Yes,Two year,86.1,6045.9
2936,Male,No,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,102.65,4108.15
2937,Female,Yes,Yes,Yes,Fiber optic,No,Yes,No,One year,92.85,5980.75
2938,Male,Yes,Yes,Yes,Fiber optic,No,No,Yes,One year,97.75,5043.2
2939,Male,No,Yes,No,Fiber optic,No,Yes,Yes,Month-to-month,83.8,1029.75
2940,Male,No,No,No phone service,DSL,No,Yes,No,Month-to-month,54.45,2854.55
2941,Male,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Two year,97.95,7114.25
2942,Male,No,Yes,No,No,No internet service,No internet service,No internet service,Two year,19.95,907.05
2943,Male,No,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,24.6,973.95
2944,Male,No,No,No phone service,DSL,Yes,No,Yes,Month-to-month,50.95,605.75
2945,Male,No,Yes,No,Fiber optic,Yes,No,No,Month-to-month,75.6,661.55
2946,Female,Yes,Yes,Yes,Fiber optic,No,No,Yes,Month-to-month,80.75,4116.9
2947,Male,Yes,Yes,No,Fiber optic,No,Yes,No,Month-to-month,90.4,4494.65
2948,Male,Yes,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,99.8,4259.3
2949,Female,No,Yes,No,DSL,Yes,Yes,Yes,One year,60.25,3282.75
2950,Male,No,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,20.2,55.7
2951,Male,Yes,Yes,No,DSL,Yes,No,Yes,One year,64.15,1274.45
2952,Female,Yes,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,20.25,493.95
2953,Female,Yes,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,105.85,2239.65
2954,Female,No,Yes,Yes,Fiber optic,No,No,No,Month-to-month,75.45,480.75
2955,Male,No,Yes,Yes,Fiber optic,No,No,No,Month-to-month,93.85,635.6
2956,Male,No,Yes,No,Fiber optic,No,Yes,No,Month-to-month,99.0,5038.15
2957,Female,No,Yes,Yes,Fiber optic,No,No,No,Month-to-month,80.3,324.2
2958,Female,No,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,19.55,19.55
2959,Male,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,Month-to-month,100.75,2793.55
2960,Male,No,Yes,Yes,Fiber optic,Yes,No,No,Month-to-month,100.75,2095
2961,Male,No,Yes,No,DSL,No,No,Yes,Month-to-month,53.75,648.65
2962,Female,Yes,No,No phone service,DSL,No,No,Yes,Month-to-month,31.0,95.05
2963,Female,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,One year,25.6,917.15
2964,Male,Yes,Yes,Yes,DSL,Yes,No,Yes,One year,58.35,1346.9
2965,Male,No,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,80.0,4242.35
2966,Female,No,No,No phone service,DSL,No,No,No,Month-to-month,46.35,672.7
2967,Male,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Two year,113.75,6561.25
2968,Male,No,Yes,No,Fiber optic,No,Yes,No,Month-to-month,90.4,268.45
2969,Female,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Two year,109.3,7337.55
2970,Male,No,Yes,No,Fiber optic,No,No,No,Month-to-month,70.25,331.9
2971,Female,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Two year,90.3,5194.05
2972,Male,Yes,No,No phone service,DSL,Yes,Yes,Yes,Two year,65.25,4478.85
2973,Female,Yes,Yes,No,Fiber optic,No,Yes,No,Month-to-month,100.15,6283.3
2974,Male,No,Yes,Yes,Fiber optic,Yes,No,No,Month-to-month,94.5,2659.4
2975,Male,No,Yes,No,DSL,No,No,Yes,Month-to-month,60.65,196.9
2976,Male,No,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,24.1,439.2
2977,Male,No,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,19.5,19.5
2978,Male,No,Yes,No,Fiber optic,No,Yes,Yes,Month-to-month,85.95,2107.15
2979,Male,No,Yes,No,DSL,No,Yes,Yes,One year,53.5,3035.8
2980,Female,No,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,25.45,1866.45
2981,Male,No,Yes,No,No,No internet service,No internet service,No internet service,Two year,20.5,1430.95
2982,Male,Yes,Yes,No,No,No internet service,No internet service,No internet service,One year,20.85,1071.6
2983,Male,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Two year,89.9,6457.15
2984,Female,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,One year,26.0,684.05
2985,Female,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Two year,113.2,3914.05
2986,Female,Yes,Yes,No,Fiber optic,No,No,No,Two year,69.05,3842.6
2987,Female,Yes,Yes,No,No,No internet service,No internet service,No internet service,Two year,20.1,670.35
2988,Male,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Two year,109.65,7880.25
2989,Male,No,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,19.2,19.2
2990,Male,No,No,No phone service,DSL,No,No,No,Month-to-month,33.9,298.45
2991,Female,Yes,Yes,No,Fiber optic,No,Yes,Yes,Month-to-month,90.0,3371.75
2992,Male,No,No,No phone service,DSL,No,No,Yes,Month-to-month,34.0,442.45
2993,Male,Yes,Yes,No,No,No internet service,No internet service,No internet service,One year,20.4,20.4
2994,Male,Yes,No,No phone service,DSL,Yes,No,Yes,Two year,38.6,2345.55
2995,Female,No,No,No phone service,DSL,No,No,No,Month-to-month,25.25,25.25
2996,Female,No,Yes,Yes,DSL,Yes,Yes,No,Month-to-month,60.6,1156.35
2997,Male,Yes,Yes,Yes,Fiber optic,No,No,No,Month-to-month,89.95,6143.15
2998,Male,No,Yes,No,Fiber optic,No,No,No,Month-to-month,74.75,144.8
2999,Male,Yes,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,20.6,414.95
3000,Male,No,Yes,Yes,Fiber optic,No,No,No,Month-to-month,84.45,1059.55
3001,Male,No,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,20.4,181.8
3002,Male,No,Yes,No,DSL,Yes,Yes,Yes,One year,81.7,2212.55
3003,Male,No,Yes,Yes,Fiber optic,No,No,Yes,Month-to-month,79.5,2180.55
3004,Male,Yes,Yes,No,Fiber optic,No,No,No,Month-to-month,89.15,89.15
3005,Female,No,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,20.3,459.95
3006,Male,No,Yes,Yes,Fiber optic,No,No,No,Month-to-month,74.95,1036.75
3007,Female,No,Yes,No,Fiber optic,No,No,No,Month-to-month,74.4,2276.95
3008,Female,No,Yes,No,No,No internet service,No internet service,No internet service,One year,20.0,211.95
3009,Male,No,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,25.0,25
3010,Male,No,Yes,Yes,Fiber optic,Yes,No,No,Month-to-month,80.45,3162.65
3011,Female,Yes,Yes,No,No,No internet service,No internet service,No internet service,Two year,19.75,210.65
3012,Male,Yes,Yes,Yes,DSL,Yes,No,Yes,Two year,65.65,3566.7
3013,Female,No,Yes,Yes,DSL,No,No,No,One year,71.0,2080.1
3014,Male,Yes,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,89.2,4040.2
3015,Male,Yes,Yes,No,DSL,Yes,Yes,Yes,Two year,86.75,5186
3016,Female,No,Yes,No,DSL,No,No,No,Month-to-month,55.3,196.15
3017,Female,Yes,Yes,No,DSL,Yes,No,Yes,One year,61.5,1087.45
3018,Male,No,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,25.1,1672.15
3019,Female,Yes,Yes,No,DSL,No,No,Yes,Month-to-month,55.15,1206.05
3020,Male,No,No,No phone service,DSL,Yes,No,Yes,One year,34.05,1113.95
3021,Male,No,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,19.95,107.05
3022,Female,No,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,19.95,38.15
3023,Male,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Two year,89.7,6339.3
3024,Male,No,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,20.4,184.1
3025,Male,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,26.3,1688.9
3026,Female,Yes,Yes,Yes,Fiber optic,No,No,No,Month-to-month,84.95,1378.25
3027,Female,No,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,20.7,137.6
3028,Male,No,No,No phone service,DSL,Yes,Yes,Yes,Month-to-month,43.25,219
3029,Male,Yes,Yes,Yes,DSL,No,No,No,One year,48.35,1067.15
3030,Male,No,Yes,No,Fiber optic,No,No,No,Month-to-month,79.55,79.55
3031,Female,Yes,Yes,No,Fiber optic,No,No,No,Month-to-month,71.05,3444.85
3032,Male,No,Yes,No,No,No internet service,No internet service,No internet service,Two year,19.45,369.05
3033,Female,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Two year,110.8,7553.6
3034,Male,No,Yes,Yes,Fiber optic,No,No,No,Month-to-month,84.5,84.5
3035,Female,Yes,Yes,No,Fiber optic,No,No,No,Month-to-month,69.3,1813.1
3036,Male,No,No,No phone service,DSL,Yes,Yes,Yes,One year,49.35,3321.35
3037,Male,No,Yes,No,No,No internet service,No internet service,No internet service,One year,20.35,707.5
3038,Female,Yes,Yes,Yes,Fiber optic,Yes,No,No,One year,105.6,7112.15
3039,Male,Yes,No,No phone service,DSL,Yes,Yes,Yes,Two year,64.45,4641.1
3040,Male,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Two year,108.6,7690.9
3041,Male,No,Yes,No,DSL,No,No,No,Month-to-month,49.9,49.9
3042,Male,No,No,No phone service,DSL,No,No,No,Month-to-month,30.3,1380.1
3043,Female,No,No,No phone service,DSL,No,Yes,No,Month-to-month,30.4,78.65
3044,Female,No,Yes,No,DSL,No,No,No,Month-to-month,45.4,45.4
3045,Female,Yes,Yes,No,DSL,No,Yes,No,One year,65.65,3094.65
3046,Female,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,One year,103.3,6518.35
3047,Female,Yes,Yes,No,Fiber optic,No,No,No,Month-to-month,84.15,2585.95
3048,Female,No,Yes,No,DSL,No,No,No,Month-to-month,44.45,82.7
3049,Female,No,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,19.75,58.85
3050,Female,No,Yes,No,Fiber optic,No,No,Yes,Month-to-month,85.4,425.9
3051,Female,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Two year,89.9,6342.7
3052,Male,Yes,Yes,Yes,DSL,Yes,No,No,Month-to-month,55.05,2030.75
3053,Male,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Two year,104.1,6700.05
3054,Female,No,Yes,Yes,Fiber optic,No,No,Yes,One year,106.6,7244.7
3055,Male,No,Yes,Yes,Fiber optic,No,No,No,Month-to-month,75.2,3678.3
3056,Male,Yes,Yes,Yes,DSL,Yes,No,Yes,Two year,70.5,3486.65
3057,Male,Yes,Yes,No,No,No internet service,No internet service,No internet service,One year,19.6,411.15
3058,Female,No,Yes,Yes,DSL,No,Yes,No,One year,55.85,937.5
3059,Female,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,24.05,1559.15
3060,Male,Yes,No,No phone service,DSL,No,Yes,No,One year,38.1,970.4
3061,Male,No,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,106.4,2483.5
3062,Male,Yes,No,No phone service,DSL,No,Yes,Yes,Month-to-month,34.25,828.2
3063,Female,No,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,100.05,3810.55
3064,Female,No,Yes,No,Fiber optic,No,No,No,Month-to-month,68.65,1493.2
3065,Male,No,Yes,No,DSL,No,No,No,Month-to-month,45.8,45.8
3066,Female,No,Yes,Yes,Fiber optic,No,No,No,Month-to-month,75.75,777.3
3067,Male,No,Yes,No,Fiber optic,No,No,No,Month-to-month,84.4,556.35
3068,Male,Yes,Yes,Yes,Fiber optic,Yes,No,No,One year,96.4,4911.05
3069,Female,No,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,20.55,187.35
3070,Female,No,No,No phone service,DSL,Yes,No,Yes,Month-to-month,50.95,307.6
3071,Male,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Two year,90.5,4318.35
3072,Female,Yes,Yes,Yes,DSL,Yes,Yes,Yes,One year,79.4,4820.55
3073,Female,No,No,No phone service,DSL,Yes,Yes,No,Two year,58.75,3038.55
3074,Female,Yes,Yes,Yes,DSL,Yes,No,No,Month-to-month,59.45,2136.9
3075,Male,Yes,Yes,Yes,Fiber optic,No,Yes,No,One year,105.7,7472.15
3076,Female,No,Yes,No,DSL,Yes,No,No,Month-to-month,56.25,389.1
3077,Male,Yes,Yes,No,DSL,Yes,Yes,No,Two year,53.3,2296.25
3078,Female,No,Yes,Yes,Fiber optic,No,No,No,Month-to-month,85.55,187.45
3079,Female,No,Yes,No,DSL,No,No,No,Month-to-month,68.65,261.25
3080,Male,No,No,No phone service,DSL,No,No,No,Month-to-month,24.3,38.45
3081,Male,No,Yes,No,Fiber optic,No,No,No,Month-to-month,77.85,299.2
3082,Male,No,Yes,Yes,DSL,Yes,No,Yes,One year,59.9,3043.6
3083,Male,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,One year,23.95,1506.4
3084,Male,No,Yes,No,No,No internet service,No internet service,No internet service,One year,20.15,163.7
3085,Male,No,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,105.35,323.25
3086,Male,No,Yes,Yes,Fiber optic,No,Yes,Yes,Month-to-month,95.65,1640
3087,Female,No,Yes,Yes,Fiber optic,No,No,No,Month-to-month,87.05,762.1
3088,Male,Yes,Yes,No,DSL,Yes,Yes,Yes,Two year,81.0,3846.35
3089,Female,No,Yes,No,DSL,Yes,Yes,Yes,Two year,82.45,5646.6
3090,Male,No,Yes,No,DSL,No,No,No,Month-to-month,53.5,53.5
3091,Female,Yes,Yes,No,No,No internet service,No internet service,No internet service,One year,20.5,79.05
3092,Female,No,No,No phone service,DSL,No,No,No,Month-to-month,25.1,25.1
3093,Male,No,Yes,No,DSL,No,No,Yes,One year,54.4,1516.6
3094,Female,No,Yes,No,DSL,No,No,No,One year,58.6,2224.5
3095,Male,No,Yes,No,Fiber optic,No,Yes,No,Month-to-month,84.8,888.75
3096,Female,Yes,No,No phone service,DSL,No,Yes,Yes,Two year,61.4,4310.35
3097,Male,No,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,20.4,42.9
3098,Male,Yes,Yes,No,Fiber optic,No,Yes,No,Month-to-month,79.65,2365.15
3099,Female,No,Yes,No,No,No internet service,No internet service,No internet service,One year,20.15,353.65
3100,Female,Yes,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,94.45,5073.1
3101,Female,No,Yes,Yes,Fiber optic,Yes,No,No,Month-to-month,79.8,4526.85
3102,Female,No,Yes,No,DSL,Yes,No,Yes,Month-to-month,54.2,308.25
3103,Female,No,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,19.45,19.45
3104,Male,No,Yes,Yes,Fiber optic,No,No,No,Month-to-month,74.05,678.45
3105,Male,No,Yes,No,DSL,No,No,Yes,Month-to-month,49.15,1237.3
3106,Female,No,Yes,No,No,No internet service,No internet service,No internet service,Two year,19.4,1023.95
3107,Female,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Two year,113.65,8182.75
3108,Female,No,Yes,No,Fiber optic,Yes,No,Yes,One year,106.0,4532.3
3109,Male,No,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,25.95,1444.05
3110,Female,No,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,19.1,19.1
3111,Male,Yes,Yes,Yes,Fiber optic,No,Yes,No,Two year,103.4,7372.65
3112,Male,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,Two year,100.55,7325.1
3113,Male,Yes,Yes,Yes,Fiber optic,No,No,No,Month-to-month,95.4,3474.2
3114,Male,No,Yes,No,DSL,No,Yes,Yes,Month-to-month,75.15,392.65
3115,Female,No,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,84.45,1058.6
3116,Female,No,Yes,No,Fiber optic,No,Yes,No,One year,89.15,3990.75
3117,Female,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,One year,107.9,7475.85
3118,Male,No,Yes,No,No,No internet service,No internet service,No internet service,One year,19.5,835.5
3119,Female,Yes,Yes,Yes,Fiber optic,No,No,No,Month-to-month,85.95,2628.6
3120,Female,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,24.95,1718.35
3121,Female,No,Yes,No,DSL,No,No,Yes,Month-to-month,59.4,1023.9
3122,Male,Yes,Yes,No,No,No internet service,No internet service,No internet service,One year,19.5,1193.55
3123,Male,No,Yes,No,Fiber optic,No,No,No,Month-to-month,69.95,1205.5
3124,Male,Yes,Yes,No,DSL,Yes,No,Yes,Two year,82.85,5776.45
3125,Male,No,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,19.0,78.9
3126,Female,Yes,No,No phone service,DSL,Yes,No,Yes,Month-to-month,38.85,1025.15
3127,Female,No,No,No phone service,DSL,No,No,No,Month-to-month,30.6,856.35
3128,Male,No,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,20.35,122
3129,Male,Yes,Yes,Yes,Fiber optic,No,Yes,No,One year,95.0,6602.9
3130,Male,Yes,Yes,No,DSL,Yes,No,Yes,One year,74.4,1712.9
3131,Female,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Two year,78.45,5682.25
3132,Male,No,Yes,No,Fiber optic,No,No,Yes,Month-to-month,74.3,74.3
3133,Male,Yes,No,No phone service,DSL,No,Yes,Yes,One year,51.05,3635.15
3134,Female,Yes,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,19.2,702.9
3135,Female,No,Yes,Yes,Fiber optic,No,No,Yes,Month-to-month,99.55,3734.25
3136,Female,No,Yes,No,Fiber optic,No,No,No,Month-to-month,70.0,1144.5
3137,Female,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,One year,109.1,4454.25
3138,Female,No,Yes,No,DSL,No,No,No,Month-to-month,45.3,45.3
3139,Male,No,No,No phone service,DSL,No,No,Yes,Month-to-month,29.85,75.6
3140,Male,No,Yes,No,Fiber optic,No,Yes,No,Month-to-month,76.45,1117.55
3141,Male,No,Yes,No,Fiber optic,No,Yes,Yes,Month-to-month,95.1,180.25
3142,Male,No,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,19.8,19.8
3143,Male,Yes,Yes,Yes,DSL,No,Yes,Yes,Month-to-month,72.8,930.05
3144,Male,No,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,18.95,110.15
3145,Female,No,Yes,No,Fiber optic,No,No,No,Month-to-month,76.65,333.6
3146,Female,Yes,Yes,No,Fiber optic,No,No,Yes,Month-to-month,99.15,465.05
3147,Female,Yes,Yes,No,Fiber optic,Yes,Yes,No,Month-to-month,101.75,1669.4
3148,Female,No,Yes,No,Fiber optic,Yes,No,No,Month-to-month,75.45,3545.1
3149,Female,No,Yes,No,DSL,No,Yes,Yes,Month-to-month,64.1,504.05
3150,Male,No,No,No phone service,DSL,No,No,No,Month-to-month,25.65,440.2
3151,Male,Yes,Yes,No,Fiber optic,Yes,No,No,Month-to-month,75.1,1151.55
3152,Female,No,Yes,No,Fiber optic,Yes,Yes,Yes,One year,95.85,2475.35
3153,Female,No,Yes,Yes,DSL,Yes,No,No,Month-to-month,54.4,1249.25
3154,Female,No,Yes,No,Fiber optic,No,No,No,Month-to-month,72.75,317.75
3155,Male,No,Yes,No,No,No internet service,No internet service,No internet service,One year,19.85,535.05
3156,Female,No,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,19.05,461.3
3157,Male,No,Yes,No,DSL,No,No,No,Month-to-month,44.95,431
3158,Male,Yes,Yes,No,DSL,No,Yes,No,Month-to-month,49.55,878.35
3159,Male,No,Yes,Yes,Fiber optic,No,No,No,Month-to-month,94.85,335.75
3160,Female,Yes,No,No phone service,DSL,Yes,Yes,Yes,Two year,46.25,3121.4
3161,Male,No,Yes,No,No,No internet service,No internet service,No internet service,One year,19.35,324.8
3162,Male,No,Yes,Yes,DSL,No,No,No,Month-to-month,69.6,1394.55
3163,Male,No,Yes,Yes,Fiber optic,No,No,No,Month-to-month,90.7,3413.25
3164,Male,No,Yes,No,Fiber optic,No,Yes,No,Month-to-month,101.4,3143.65
3165,Male,Yes,Yes,No,No,No internet service,No internet service,No internet service,One year,20.25,439.75
3166,Male,Yes,Yes,No,DSL,No,No,Yes,Month-to-month,48.8,664.4
3167,Female,Yes,Yes,No,DSL,Yes,Yes,Yes,Two year,74.35,4759.55
3168,Female,No,Yes,No,No,No internet service,No internet service,No internet service,One year,19.35,1033
3169,Male,Yes,Yes,No,DSL,No,Yes,Yes,One year,68.75,3482.85
3170,Male,No,Yes,Yes,Fiber optic,No,No,No,One year,100.2,2688.45
3171,Female,No,Yes,No,No,No internet service,No internet service,No internet service,Two year,20.85,435.25
